ENGINESIZE,CYLINDERS,FUELCONSUMPTION_CITY,FUELCONSUMPTION_HWY,CO2EMISSIONS
3.4,6,11.8,8.5,0
3.4,6,12.4,8.6,0
3.4,6,12.0,8.7,0
3.4,6,12.6,9.0,0
3.8,6,12.3,8.9,0
3.8,6,12.8,8.9,0
3.8,6,12.7,9.0,0
3.8,6,12.9,9.1,1
3.4,6,11.6,8.3,0
3.4,6,12.4,8.6,0
3.8,6,12.1,8.7,0
3.8,6,12.6,8.6,0
3.8,6,12.4,8.7,0
3.8,6,12.6,8.8,0
3.8,6,16.0,11.5,1
3.8,6,13.7,9.6,1
3.8,6,13.7,9.6,1
3.8,6,13.7,9.6,1
3.8,6,13.7,9.6,1
2.7,6,10.7,7.4,0
2.7,6,11.5,7.9,0
3.4,6,11.3,7.9,0
3.4,6,11.9,8.6,0
3.6,6,13.6,10.1,1
3.6,6,15.8,10.9,1
3.0,6,12.2,8.1,1
4.8,8,15.9,11.4,1
4.8,8,15.0,10.6,1
3.0,6,11.8,9.9,0
4.8,8,15.9,10.9,1
2.7,6,10.7,7.4,0
2.7,6,11.5,7.9,0
3.4,6,11.3,7.9,0
3.4,6,11.9,8.6,0
3.6,6,12.9,8.4,0
3.6,6,13.1,8.7,0
3.0,6,13.4,8.8,1
3.0,6,13.7,8.9,1
4.8,8,15.1,9.7,1
3.0,6,13.4,8.8,1
4.8,8,15.3,9.7,1
4.8,8,15.4,9.8,1
5.7,8,17.1,12.0,1
5.7,8,15.8,10.9,1
5.7,8,17.6,12.7,1
5.7,8,16.3,11.5,1
3.0,6,12.1,8.8,1
3.6,6,14.6,10.1,1
3.6,6,20.5,14.5,1
3.0,6,11.6,8.4,1
3.6,6,13.9,9.5,1
3.6,6,19.4,13.6,1
3.6,6,12.9,9.3,1
3.6,6,13.3,9.1,1
3.6,6,18.6,12.7,0
6.6,12,19.1,12.3,1
6.6,12,19.1,12.3,1
6.7,12,20.7,12.8,1
6.7,12,20.7,12.8,1
6.7,12,20.7,12.7,1
6.7,12,20.7,12.7,1
6.6,12,18.7,11.8,1
2.0,4,9.6,7.0,0
2.0,4,10.9,7.8,0
1.3,4,6.6,5.7,0
2.5,4,10.2,7.5,0
2.5,4,10.2,7.6,0
2.4,4,10.9,8.6,0
2.4,4,10.9,8.6,0
1.8,4,8.8,7.1,0
1.8,4,8.6,7.1,0
1.0,3,6.9,5.7,0
1.0,3,6.9,5.7,0
8.4,10,20.0,13.0,1
8.4,10,20.0,13.0,1
2.0,4,9.6,7.1,0
2.0,4,11.0,7.9,0
2.0,4,10.2,8.6,0
2.5,4,9.6,7.4,0
2.5,4,10.9,8.3,0
2.0,4,8.7,6.6,0
2.0,4,9.6,7.1,0
2.5,4,12.6,9.5,1
2.5,4,14.2,10.4,1
2.0,4,8.7,6.6,0
2.0,4,9.6,7.1,0
2.5,4,12.6,9.5,1
2.5,4,14.2,10.4,1
2.5,4,9.7,7.3,0
2.5,4,11.3,8.2,0
3.6,6,13.3,9.5,1
2.5,4,9.9,7.8,0
2.5,4,10.8,8.5,0
3.6,6,13.4,9.7,1
3.6,6,14.7,11.1,1
2.0,4,9.5,7.2,0
2.0,4,10.2,8.0,0
2.0,4,8.1,7.2,0
4.0,6,14.3,11.1,1
4.0,6,14.3,11.1,1
3.5,6,11.3,7.6,0
2.5,4,9.5,6.6,0
3.5,6,11.1,7.8,0
2.5,4,5.5,5.9,0
2.5,4,5.8,6.2,0
1.8,4,8.6,6.5,0
1.8,4,8.1,6.3,0
1.8,4,8.0,5.9,0
1.8,4,8.3,6.3,0
1.8,4,7.7,5.6,0
1.8,4,7.8,5.9,0
1.8,4,9.4,7.5,0
1.8,4,8.9,7.3,0
4.0,6,14.3,11.2,1
4.0,6,15.4,12.1,1
2.7,4,11.7,8.6,0
3.5,6,12.6,9.4,1
3.5,6,13.0,9.7,1
3.5,6,8.0,8.6,0
3.5,6,7.9,8.6,0
1.8,4,4.7,4.9,0
1.5,4,4.6,4.9,0
1.8,4,5.3,5.8,0
2.5,4,10.0,7.6,0
2.5,4,10.4,8.1,0
2.5,4,10.6,8.2,0
5.7,8,19.0,13.9,1
3.5,6,12.9,9.4,1
3.5,6,14.2,10.3,1
2.7,4,12.2,9.3,0
2.7,4,11.3,8.9,0
4.0,6,14.5,11.3,1
2.7,4,13.1,10.5,1
2.7,4,12.8,10.6,1
4.0,6,14.7,11.5,1
4.0,6,15.3,12.3,1
4.0,6,14.8,11.8,1
4.6,8,15.9,12.3,1
5.7,8,17.6,12.9,1
4.6,8,16.9,12.8,1
5.7,8,18.1,13.9,1
2.7,4,11.4,8.2,0
3.5,6,12.6,9.1,0
2.7,4,11.6,8.5,0
3.5,6,12.9,9.4,1
1.5,4,7.9,6.6,0
1.5,4,7.8,6.3,0
1.8,4,9.5,7.2,0
1.8,4,9.9,7.2,0
2.0,4,10.3,7.7,0
2.0,4,10.8,7.6,0
2.5,5,10.9,8.4,0
2.5,5,11.2,7.7,0
1.8,4,9.8,7.3,0
2.0,4,10.3,8.1,0
2.0,4,10.8,7.6,0
2.5,5,11.2,8.7,0
2.0,4,8.2,6.1,0
2.0,4,8.5,5.8,0
2.0,4,11.1,7.9,0
2.0,4,11.6,7.7,0
3.6,6,14.3,9.8,1
2.0,4,10.9,8.0,0
2.5,5,11.0,7.7,0
2.5,5,11.2,7.3,0
2.0,4,8.2,6.0,0
2.0,4,7.9,5.6,0
1.8,4,9.5,6.7,0
1.8,4,9.4,6.7,0
2.0,4,10.6,8.0,0
2.0,4,10.4,7.2,0
2.0,4,10.2,7.5,0
2.0,4,10.6,7.4,0
2.0,4,7.9,5.7,0
2.0,4,7.9,5.6,0
1.4,4,5.6,5.2,0
1.8,4,9.9,6.9,0
1.8,4,10.0,6.9,0
2.5,5,11.0,8.0,0
2.5,5,11.4,7.8,0
3.6,6,12.4,8.8,0
2.0,4,8.1,5.9,0
2.0,4,8.0,5.4,0
3.6,6,14.2,9.5,1
2.0,4,11.7,9.5,0
2.0,4,13.6,9.2,1
2.0,4,11.7,9.4,0
3.6,6,13.8,10.3,1
3.0,6,12.3,8.0,1
2.5,5,11.3,7.8,0
2.5,5,11.6,8.3,0
3.0,6,13.2,9.5,1
3.2,6,11.9,8.1,0
3.0,6,13.2,9.5,1
3.2,6,13.0,8.9,1
3.0,6,13.4,9.8,1
3.2,6,13.2,9.5,1
3.0,6,13.4,9.8,1
3.2,6,12.9,9.3,1
3.2,6,14.9,10.2,1
